Which langauge typically takes the least time to develop a program?,Java,Python,C++,B
What keyword begins a python function block?,def,function,fn,A
How do you type out a comment in python?,//,#,!,B
Which is not a data type in python?,char,bool,list,A
What is a difference between tuples and lists?,Lists are mutable while tuples are immutable,Nothing,Lists are faster,A
Which is not a keyword in Python,if,break,deal,C
What is the correct way to define a string in Python?,"""string""",string',string,A
How do you access an element of a list in Python by its index?,list(index),list{index},list[index],C
How do you raise an exception in Python?,"raise Exception(""error message"")","throw Exception(""error message"")","exit Exception(""error message"")",A
What type of data structure is used to store a collection of items in Python?,Tuple,List,Dictionary,B
What is the correct syntax for an if statement in Python?,if x = 10 then,if (x == 10),if x == 10:,C
What langauge is Python built on?,C,C++,Java,
What are dictionaries most similar to in other languages?,hashsets,arrays,vectors,
"What does the ""!="" operator mean in Python?",Greater than or equal to ,Equal to,Not equal to,C
What function allows you to grab data from a user in Python?,input(),get(),data(),A
Which data type can either be true or false?,Float,Boolean,String,B
What are the variables called that are passed into a function?,Parameters,Initializers,Setters,A
Which of these statements prints out the number 14 in Python?,"print(""7+7"")","print(""7"" + ""7"")",print(7+7),C
Which of the following Python objects are immutable?,Lists,Tuples,Sets,B
What operator performs integer division?,/,//,\,B
What would be the output of print(26 % 12)?,2,0,It would throw an error,A
What does the multiline continuation character do?,Breaks a statement into multiple lines,Adds a return inbetween lines,Splits the statement into seperate arguments,A
What function gives a dictionary's keys?,dictionary.find(),dict.keys(),dictionary.keys(),C
